from_stop_I;to_stop_I;attr_dict
27099;27098;{'route_I_counts': {1073: 77}, 'd': 1124, 'n_vehicles': 77, 'duration_avg': 103.63636363636364}
27099;27100;{'route_I_counts': {1073: 76}, 'd': 2661, 'n_vehicles': 76, 'duration_avg': 180.0}
27099;27094;{'route_I_counts': {1073: 26}, 'd': 8054, 'n_vehicles': 26, 'duration_avg': 660.0}
27507;27506;{'route_I_counts': {1078: 207}, 'd': 1637, 'n_vehicles': 207, 'duration_avg': 190.43478260869566}
27507;27508;{'route_I_counts': {1078: 210}, 'd': 1588, 'n_vehicles': 210, 'duration_avg': 126.28571428571429}
27342;27331;{'route_I_counts': {1072: 46}, 'd': 3974, 'n_vehicles': 46, 'duration_avg': 238.69565217391303}
27342;27343;{'route_I_counts': {1072: 47}, 'd': 5069, 'n_vehicles': 47, 'duration_avg': 300.0}
216;24;{'route_I_counts': {164: 11, 165: 126, 166: 93, 167: 72}, 'd': 2696, 'n_vehicles': 302, 'duration_avg': 213.3774834437086}
216;649;{'route_I_counts': {165: 14}, 'd': 5687, 'n_vehicles': 14, 'duration_avg': 300.0}
216;545;{'route_I_counts': {168: 140, 169: 13, 170: 94, 171: 69}, 'd': 1728, 'n_vehicles': 316, 'duration_avg': 175.44303797468353}
27343;27344;{'route_I_counts': {1072: 47}, 'd': 7975, 'n_vehicles': 47, 'duration_avg': 420.0}
27343;27342;{'route_I_counts': {1072: 46}, 'd': 5069, 'n_vehicles': 46, 'duration_avg': 240.0}
27344;27356;{'route_I_counts': {1072: 21}, 'd': 1802, 'n_vehicles': 21, 'duration_avg': 120.0}
27344;27343;{'route_I_counts': {1072: 46}, 'd': 7975, 'n_vehicles': 46, 'duration_avg': 358.69565217391306}
379;488;{'route_I_counts': {170: 94}, 'd': 3622, 'n_vehicles': 94, 'duration_avg': 240.63829787234042}
379;19073;{'route_I_counts': {166: 93}, 'd': 2408, 'n_vehicles': 93, 'duration_avg': 228.38709677419354}
232;784;{'route_I_counts': {165: 34}, 'd': 3779, 'n_vehicles': 34, 'duration_avg': 252.35294117647058}
232;65;{'route_I_counts': {168: 110}, 'd': 1955, 'n_vehicles': 110, 'duration_avg': 274.90909090909093}
232;661;{'route_I_counts': {165: 106}, 'd': 1299, 'n_vehicles': 106, 'duration_avg': 119.43396226415095}
233;688;{'route_I_counts': {136: 22}, 'd': 2679, 'n_vehicles': 22, 'duration_avg': 240.0}
233;689;{'route_I_counts': {136: 77, 134: 5}, 'd': 1178, 'n_vehicles': 82, 'duration_avg': 114.14634146341463}
233;445;{'route_I_counts': {138: 21, 140: 1}, 'd': 1976, 'n_vehicles': 22, 'duration_avg': 180.0}
233;576;{'route_I_counts': {138: 76, 140: 6}, 'd': 860, 'n_vehicles': 82, 'duration_avg': 69.51219512195122}
27009;27040;{'route_I_counts': {1055: 24}, 'd': 3000, 'n_vehicles': 24, 'duration_avg': 220.0}
27009;27008;{'route_I_counts': {1055: 43}, 'd': 1512, 'n_vehicles': 43, 'duration_avg': 138.13953488372093}
27009;27010;{'route_I_counts': {1055: 56}, 'd': 2706, 'n_vehicles': 56, 'duration_avg': 162.85714285714286}
27424;27425;{'route_I_counts': {1068: 230}, 'd': 2440, 'n_vehicles': 230, 'duration_avg': 180.52173913043478}
288;704;{'route_I_counts': {168: 140, 169: 1, 170: 94, 171: 69}, 'd': 1094, 'n_vehicles': 304, 'duration_avg': 149.80263157894737}
288;705;{'route_I_counts': {169: 7}, 'd': 1969, 'n_vehicles': 7, 'duration_avg': 180.0}
288;867;{'route_I_counts': {164: 11, 165: 140, 166: 93, 167: 72}, 'd': 4693, 'n_vehicles': 316, 'duration_avg': 255.9493670886076}
312;24;{'route_I_counts': {168: 122}, 'd': 2332, 'n_vehicles': 122, 'duration_avg': 144.0983606557377}
312;649;{'route_I_counts': {165: 126}, 'd': 1052, 'n_vehicles': 126, 'duration_avg': 120.47619047619048}
394;513;{'route_I_counts': {170: 94}, 'd': 2167, 'n_vehicles': 94, 'duration_avg': 165.95744680851064}
394;36;{'route_I_counts': {166: 34}, 'd': 6861, 'n_vehicles': 34, 'duration_avg': 476.47058823529414}
394;613;{'route_I_counts': {166: 59}, 'd': 5556, 'n_vehicles': 59, 'duration_avg': 360.0}
329;344;{'route_I_counts': {137: 28, 138: 88, 139: 64, 140: 6}, 'd': 518, 'n_vehicles': 186, 'duration_avg': 60.0}
329;401;{'route_I_counts': {136: 22}, 'd': 2145, 'n_vehicles': 22, 'duration_avg': 180.0}
