from_stop_I;to_stop_I;attr_dict
32;10;{'d': 3178, 'duration_avg': 300.0, 'n_vehicles': 52, 'route_I_counts': {328: 52}}
32;270;{'d': 2648, 'duration_avg': 240.0, 'n_vehicles': 63, 'route_I_counts': {328: 63}}
33;24;{'d': 1977, 'duration_avg': 243.2876712328767, 'n_vehicles': 73, 'route_I_counts': {330: 73}}
33;23;{'d': 921, 'duration_avg': 119.22077922077922, 'n_vehicles': 77, 'route_I_counts': {330: 77}}
34;40;{'d': 1897, 'duration_avg': 182.33766233766235, 'n_vehicles': 77, 'route_I_counts': {330: 77}}
34;41;{'d': 940, 'duration_avg': 180.0, 'n_vehicles': 80, 'route_I_counts': {330: 80}}
35;192;{'d': 1926, 'duration_avg': 331.7647058823529, 'n_vehicles': 34, 'route_I_counts': {329: 34}}
35;194;{'d': 11392, 'duration_avg': 708.0, 'n_vehicles': 5, 'route_I_counts': {329: 5}}
35;37;{'d': 3597, 'duration_avg': 364.44444444444446, 'n_vehicles': 81, 'route_I_counts': {328: 66, 330: 15}}
35;265;{'d': 2538, 'duration_avg': 540.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
35;266;{'d': 3673, 'duration_avg': 420.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
35;43;{'d': 2483, 'duration_avg': 241.11111111111111, 'n_vehicles': 54, 'route_I_counts': {328: 54}}
35;30;{'d': 9472, 'duration_avg': 840.0, 'n_vehicles': 5, 'route_I_counts': {331: 5}}
37;8456;{'d': 2445, 'duration_avg': 416.25, 'n_vehicles': 32, 'route_I_counts': {332: 32}}
37;9;{'d': 3340, 'duration_avg': 386.6666666666667, 'n_vehicles': 108, 'route_I_counts': {328: 66, 330: 15, 332: 27}}
37;35;{'d': 3597, 'duration_avg': 454.03846153846155, 'n_vehicles': 104, 'route_I_counts': {328: 63, 330: 39, 332: 2}}
38;26;{'d': 1347, 'duration_avg': 179.25, 'n_vehicles': 80, 'route_I_counts': {330: 80}}
38;28;{'d': 962, 'duration_avg': 181.55844155844156, 'n_vehicles': 77, 'route_I_counts': {330: 77}}
39;25;{'d': 927, 'duration_avg': 123.75, 'n_vehicles': 80, 'route_I_counts': {330: 80}}
39;26;{'d': 1130, 'duration_avg': 180.0, 'n_vehicles': 76, 'route_I_counts': {330: 76}}
40;16;{'d': 2705, 'duration_avg': 268.05194805194805, 'n_vehicles': 77, 'route_I_counts': {330: 77}}
40;34;{'d': 1897, 'duration_avg': 183.84615384615384, 'n_vehicles': 78, 'route_I_counts': {330: 78}}
41;34;{'d': 940, 'duration_avg': 180.0, 'n_vehicles': 77, 'route_I_counts': {330: 77}}
41;28;{'d': 1603, 'duration_avg': 180.75, 'n_vehicles': 80, 'route_I_counts': {330: 80}}
43;35;{'d': 2483, 'duration_avg': 418.0952380952381, 'n_vehicles': 63, 'route_I_counts': {328: 63}}
43;270;{'d': 2757, 'duration_avg': 360.0, 'n_vehicles': 54, 'route_I_counts': {328: 54}}
48;24;{'d': 5201, 'duration_avg': 488.1081081081081, 'n_vehicles': 37, 'route_I_counts': {332: 37}}
265;192;{'d': 1013, 'duration_avg': 254.48275862068965, 'n_vehicles': 29, 'route_I_counts': {329: 29}}
265;266;{'d': 1403, 'duration_avg': 181.8181818181818, 'n_vehicles': 33, 'route_I_counts': {329: 33}}
266;192;{'d': 2416, 'duration_avg': 336.0, 'n_vehicles': 5, 'route_I_counts': {329: 5}}
266;194;{'d': 8063, 'duration_avg': 540.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
266;196;{'d': 5960, 'duration_avg': 840.0, 'n_vehicles': 2, 'route_I_counts': {329: 2}}
266;265;{'d': 1403, 'duration_avg': 188.27586206896552, 'n_vehicles': 29, 'route_I_counts': {329: 29}}
266;267;{'d': 1166, 'duration_avg': 183.33333333333334, 'n_vehicles': 36, 'route_I_counts': {329: 36}}
266;268;{'d': 3031, 'duration_avg': 240.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
8416;8427;{'d': 1362, 'duration_avg': 151.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
242;190;{'d': 3387, 'duration_avg': 377.14285714285717, 'n_vehicles': 7, 'route_I_counts': {331: 7}}
242;206;{'d': 1585, 'duration_avg': 180.0, 'n_vehicles': 26, 'route_I_counts': {331: 26}}
8427;8415;{'d': 625, 'duration_avg': 66.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
23;24;{'d': 2807, 'duration_avg': 346.77966101694915, 'n_vehicles': 59, 'route_I_counts': {330: 10, 332: 49}}
23;9;{'d': 1517, 'duration_avg': 291.63461538461536, 'n_vehicles': 208, 'route_I_counts': {328: 63, 330: 89, 332: 56}}
23;20;{'d': 2874, 'duration_avg': 240.0, 'n_vehicles': 61, 'route_I_counts': {328: 61}}
23;33;{'d': 921, 'duration_avg': 180.0, 'n_vehicles': 73, 'route_I_counts': {330: 73}}
8348;8349;{'d': 1572, 'duration_avg': 157.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8349;8350;{'d': 724, 'duration_avg': 77.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8350;8351;{'d': 541, 'duration_avg': 54.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8351;8363;{'d': 645, 'duration_avg': 66.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8352;8353;{'d': 751, 'duration_avg': 79.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
240;241;{'d': 1402, 'duration_avg': 240.0, 'n_vehicles': 1, 'route_I_counts': {331: 1}}
240;190;{'d': 1824, 'duration_avg': 300.0, 'n_vehicles': 3, 'route_I_counts': {331: 3}}
8354;8355;{'d': 1169, 'duration_avg': 117.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8355;8356;{'d': 720, 'duration_avg': 72.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8356;8357;{'d': 851, 'duration_avg': 85.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8357;8358;{'d': 1074, 'duration_avg': 109.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8358;8359;{'d': 454, 'duration_avg': 48.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
241;240;{'d': 1402, 'duration_avg': 240.0, 'n_vehicles': 3, 'route_I_counts': {331: 3}}
241;279;{'d': 770, 'duration_avg': 180.0, 'n_vehicles': 1, 'route_I_counts': {331: 1}}
8360;8362;{'d': 890, 'duration_avg': 99.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8362;8361;{'d': 4882, 'duration_avg': 534.0, 'n_vehicles': 16, 'route_I_counts': {377: 16}}
8363;8352;{'d': 1391, 'duration_avg': 151.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8364;8365;{'d': 486, 'duration_avg': 110.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8365;8366;{'d': 458, 'duration_avg': 100.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8366;8367;{'d': 628, 'duration_avg': 134.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8367;8368;{'d': 423, 'duration_avg': 85.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8368;8369;{'d': 469, 'duration_avg': 93.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8369;8370;{'d': 353, 'duration_avg': 72.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8370;8371;{'d': 390, 'duration_avg': 79.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8371;8372;{'d': 333, 'duration_avg': 67.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8372;8373;{'d': 550, 'duration_avg': 112.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8373;8374;{'d': 567, 'duration_avg': 116.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8374;8375;{'d': 685, 'duration_avg': 141.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8376;8377;{'d': 2045, 'duration_avg': 167.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8377;8378;{'d': 2195, 'duration_avg': 181.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8378;8379;{'d': 3134, 'duration_avg': 247.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8379;8380;{'d': 3851, 'duration_avg': 319.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8380;8381;{'d': 2278, 'duration_avg': 181.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8381;8382;{'d': 1556, 'duration_avg': 123.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
190;240;{'d': 1824, 'duration_avg': 240.0, 'n_vehicles': 1, 'route_I_counts': {331: 1}}
190;224;{'d': 6321, 'duration_avg': 351.8181818181818, 'n_vehicles': 22, 'route_I_counts': {333: 22}}
190;242;{'d': 3387, 'duration_avg': 320.0, 'n_vehicles': 6, 'route_I_counts': {331: 6}}
190;35;{'d': 13171, 'duration_avg': 1110.0, 'n_vehicles': 2, 'route_I_counts': {333: 2}}
190;196;{'d': 13430, 'duration_avg': 938.5714285714286, 'n_vehicles': 28, 'route_I_counts': {331: 1, 333: 27}}
190;30;{'d': 3894, 'duration_avg': 226.4516129032258, 'n_vehicles': 62, 'route_I_counts': {331: 62}}
190;8411;{'d': 6511, 'duration_avg': 836.25, 'n_vehicles': 16, 'route_I_counts': {331: 16}}
190;206;{'d': 1806, 'duration_avg': 235.86206896551724, 'n_vehicles': 29, 'route_I_counts': {331: 29}}
192;194;{'d': 10479, 'duration_avg': 960.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
192;35;{'d': 1926, 'duration_avg': 383.3333333333333, 'n_vehicles': 36, 'route_I_counts': {329: 36}}
192;196;{'d': 3632, 'duration_avg': 480.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
192;265;{'d': 1013, 'duration_avg': 180.0, 'n_vehicles': 32, 'route_I_counts': {329: 32}}
192;266;{'d': 2416, 'duration_avg': 240.0, 'n_vehicles': 3, 'route_I_counts': {329: 3}}
192;267;{'d': 3583, 'duration_avg': 240.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
193;194;{'d': 2783, 'duration_avg': 185.0, 'n_vehicles': 12, 'route_I_counts': {329: 12}}
193;269;{'d': 1213, 'duration_avg': 175.71428571428572, 'n_vehicles': 14, 'route_I_counts': {329: 14}}
194;192;{'d': 10479, 'duration_avg': 700.0, 'n_vehicles': 3, 'route_I_counts': {329: 3}}
194;193;{'d': 2783, 'duration_avg': 240.0, 'n_vehicles': 14, 'route_I_counts': {329: 14}}
194;35;{'d': 11392, 'duration_avg': 1002.8571428571429, 'n_vehicles': 7, 'route_I_counts': {329: 7}}
194;196;{'d': 13924, 'duration_avg': 1380.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
194;267;{'d': 6898, 'duration_avg': 420.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
194;268;{'d': 5034, 'duration_avg': 345.0, 'n_vehicles': 4, 'route_I_counts': {329: 4}}
194;269;{'d': 3990, 'duration_avg': 240.0, 'n_vehicles': 17, 'route_I_counts': {329: 17}}
196;192;{'d': 3632, 'duration_avg': 420.0, 'n_vehicles': 3, 'route_I_counts': {329: 3}}
196;224;{'d': 16190, 'duration_avg': 990.0, 'n_vehicles': 2, 'route_I_counts': {333: 2}}
196;194;{'d': 13924, 'duration_avg': 840.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
196;190;{'d': 13430, 'duration_avg': 720.0, 'n_vehicles': 29, 'route_I_counts': {331: 1, 333: 28}}
196;266;{'d': 5960, 'duration_avg': 540.0, 'n_vehicles': 1, 'route_I_counts': {329: 1}}
196;18;{'d': 11154, 'duration_avg': 606.4285714285714, 'n_vehicles': 28, 'route_I_counts': {334: 9, 335: 19}}
196;30;{'d': 9549, 'duration_avg': 543.2142857142857, 'n_vehicles': 56, 'route_I_counts': {331: 55, 333: 1}}
8353;8354;{'d': 872, 'duration_avg': 88.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
206;242;{'d': 1585, 'duration_avg': 211.0344827586207, 'n_vehicles': 29, 'route_I_counts': {331: 29}}
206;190;{'d': 1806, 'duration_avg': 265.38461538461536, 'n_vehicles': 26, 'route_I_counts': {331: 26}}
8411;190;{'d': 6511, 'duration_avg': 808.2352941176471, 'n_vehicles': 17, 'route_I_counts': {331: 17}}
8413;8412;{'d': 1573, 'duration_avg': 157.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8414;8413;{'d': 747, 'duration_avg': 77.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8415;8414;{'d': 530, 'duration_avg': 54.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
224;196;{'d': 16190, 'duration_avg': 1290.0, 'n_vehicles': 2, 'route_I_counts': {333: 2}}
224;190;{'d': 6321, 'duration_avg': 367.5, 'n_vehicles': 24, 'route_I_counts': {333: 24}}
8417;8416;{'d': 775, 'duration_avg': 79.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8418;8417;{'d': 875, 'duration_avg': 88.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
