from_stop_I;to_stop_I;attr_dict
7874;7888;{'route_I_counts': {973: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 90.0, 'd': 1046}
7876;7892;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1408}
7876;7877;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 135.65217391304347, 'd': 1944}
7877;7856;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 134.34782608695653, 'd': 1952}
7877;7876;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 150.0, 'd': 1944}
4321;7896;{'route_I_counts': {554: 23}, 'n_vehicles': 23, 'duration_avg': 422.60869565217394, 'd': 8373}
4321;4315;{'route_I_counts': {553: 23}, 'n_vehicles': 23, 'duration_avg': 300.0, 'd': 4923}
7880;7912;{'route_I_counts': {973: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1127}
7880;7888;{'route_I_counts': {954: 36, 957: 33}, 'n_vehicles': 69, 'duration_avg': 74.34782608695652, 'd': 682}
7881;7865;{'route_I_counts': {972: 1, 965: 34}, 'n_vehicles': 35, 'duration_avg': 90.0, 'd': 1090}
7881;7863;{'route_I_counts': {955: 2, 966: 33}, 'n_vehicles': 35, 'duration_avg': 90.0, 'd': 766}
7882;7904;{'route_I_counts': {970: 31}, 'n_vehicles': 31, 'duration_avg': 150.0, 'd': 2368}
7882;7869;{'route_I_counts': {969: 32}, 'n_vehicles': 32, 'duration_avg': 90.0, 'd': 925}
7883;7853;{'route_I_counts': {953: 29, 961: 37, 974: 57, 959: 12}, 'n_vehicles': 135, 'duration_avg': 152.66666666666666, 'd': 2071}
7883;7887;{'route_I_counts': {962: 56, 971: 34, 956: 23, 967: 12}, 'n_vehicles': 125, 'duration_avg': 120.0, 'd': 1607}
7884;7857;{'route_I_counts': {953: 29, 974: 57, 959: 12}, 'n_vehicles': 98, 'duration_avg': 90.0, 'd': 1181}
7884;7903;{'route_I_counts': {962: 56, 956: 23, 967: 12}, 'n_vehicles': 91, 'duration_avg': 90.0, 'd': 1065}
7885;7853;{'route_I_counts': {971: 34}, 'n_vehicles': 34, 'duration_avg': 180.0, 'd': 3286}
7886;7859;{'route_I_counts': {972: 1, 965: 34}, 'n_vehicles': 35, 'duration_avg': 150.0, 'd': 3182}
7886;7895;{'route_I_counts': {955: 2, 966: 33}, 'n_vehicles': 35, 'duration_avg': 180.0, 'd': 3353}
7887;7883;{'route_I_counts': {953: 29, 961: 37, 974: 57, 959: 12}, 'n_vehicles': 135, 'duration_avg': 120.0, 'd': 1607}
7887;7901;{'route_I_counts': {962: 56, 971: 34, 956: 23, 967: 12}, 'n_vehicles': 125, 'duration_avg': 90.0, 'd': 917}
7888;7880;{'route_I_counts': {973: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 90.0, 'd': 682}
7888;7874;{'route_I_counts': {954: 36, 957: 33}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1046}
7889;7906;{'route_I_counts': {968: 23, 969: 32, 967: 12}, 'n_vehicles': 67, 'duration_avg': 144.62686567164178, 'd': 1977}
7889;7891;{'route_I_counts': {960: 21, 970: 31, 959: 12}, 'n_vehicles': 64, 'duration_avg': 130.3125, 'd': 1118}
7890;7872;{'route_I_counts': {954: 36, 957: 33}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1596}
7890;7856;{'route_I_counts': {973: 33}, 'n_vehicles': 33, 'duration_avg': 420.0, 'd': 7835}
7890;7910;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 74.34782608695652, 'd': 632}
7909;7898;{'route_I_counts': {968: 23, 969: 32, 967: 12}, 'n_vehicles': 67, 'duration_avg': 183.5820895522388, 'd': 2519}
7909;7868;{'route_I_counts': {960: 21, 970: 31, 959: 12}, 'n_vehicles': 64, 'duration_avg': 214.6875, 'd': 3932}
7892;7876;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 104.34782608695652, 'd': 1408}
7892;7910;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 180.0, 'd': 2175}
7894;7872;{'route_I_counts': {973: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1671}
7894;7913;{'route_I_counts': {954: 36, 957: 33}, 'n_vehicles': 69, 'duration_avg': 105.65217391304348, 'd': 1484}
7895;7896;{'route_I_counts': {955: 2, 966: 33}, 'n_vehicles': 35, 'duration_avg': 180.0, 'd': 3620}
7895;7886;{'route_I_counts': {972: 1, 965: 34}, 'n_vehicles': 35, 'duration_avg': 150.0, 'd': 3353}
7896;4321;{'route_I_counts': {553: 23}, 'n_vehicles': 23, 'duration_avg': 360.0, 'd': 8373}
7896;7917;{'route_I_counts': {554: 23, 955: 2, 966: 33}, 'n_vehicles': 58, 'duration_avg': 203.79310344827587, 'd': 3379}
7896;7895;{'route_I_counts': {972: 1, 965: 34}, 'n_vehicles': 35, 'duration_avg': 180.0, 'd': 3620}
7897;7857;{'route_I_counts': {962: 56, 956: 23, 967: 12}, 'n_vehicles': 91, 'duration_avg': 180.0, 'd': 3109}
7897;7916;{'route_I_counts': {953: 29, 974: 57, 959: 12}, 'n_vehicles': 98, 'duration_avg': 120.0, 'd': 814}
4314;7905;{'route_I_counts': {971: 34, 956: 23}, 'n_vehicles': 57, 'duration_avg': 257.89473684210526, 'd': 3124}
4314;7914;{'route_I_counts': {553: 23, 555: 51, 969: 32}, 'n_vehicles': 106, 'duration_avg': 120.0, 'd': 839}
4314;4323;{'route_I_counts': {554: 23, 556: 51}, 'n_vehicles': 74, 'duration_avg': 480.0, 'd': 7422}
4314;7867;{'route_I_counts': {953: 29, 961: 37}, 'n_vehicles': 66, 'duration_avg': 270.0, 'd': 2956}
